usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index,verbatim_kingdom,category_cites,category_iucn,category_sinac,category_endemism
2436649,"Alouatta palliata (Gray, 1849)",Alouatta palliata,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Primates,Atelidae,Alouatta,Alouatta palliata,1,44,359,798,3239607,2436647,2436649,FALSE,Mammalia,,Alouatta palliata,1,Animalia,I,VULNERABLE,PELIGRO DE EXTINCIÓN,
5963042,"Anoura cultrata Handley, 1960",Anoura cultrata,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Anoura,Anoura cultrata,1,44,359,734,9366,5963037,5963042,FALSE,Mammalia,,Anoura cultrata,2,Animalia,,LEAST_CONCERN,POBLACIÓN REDUCIDA O AMENAZADA,
2433473,"Arctocephalus galapagoensis Heller, 1904",Arctocephalus galapagoensis,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Carnivora,Otariidae,Arctocephalus,Arctocephalus galapagoensis,1,44,359,732,5309,2433469,2433473,FALSE,Mammalia,,Arctocephalus galapagoensis,3,Animalia,II,ENDANGERED,,
2436643,"Ateles geoffroyi Kuhl, 1820",Ateles geoffroyi,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Primates,Atelidae,Ateles,Ateles geoffroyi,1,44,359,798,3239607,2436640,2436643,FALSE,Mammalia,,Ateles geoffroyi,4,Animalia,I,ENDANGERED,PELIGRO DE EXTINCIÓN,
4265862,"Bauerus dubiaquercus (Van Gelder, 1959)",Bauerus dubiaquercus,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Chiroptera,Vespertilionidae,Bauerus,Bauerus dubiaquercus,1,44,359,734,9368,4265861,4265862,FALSE,Mammalia,,Bauerus dubiaquercus,5,Animalia,,NEAR_THREATENED,,
2436353,"Bradypus variegatus Schinz, 1825",Bradypus variegatus,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,1,44,359,1494,9418,2436350,2436353,FALSE,Mammalia,,Bradypus variegatus,6,Animalia,II,LEAST_CONCERN,POBLACIÓN REDUCIDA O AMENAZADA,
2440806,"Cabassous centralis (Miller, 1899)",Cabassous centralis,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Cingulata,Dasypodidae,Cabassous,Cabassous centralis,1,44,359,735,9369,2440805,2440806,FALSE,Mammalia,,Cabassous centralis,7,Animalia,,DATA_DEFICIENT,POBLACIÓN REDUCIDA O AMENAZADA,
8028197,"Cebus imitator Thomas, 1903",Cebus imitator,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Primates,Cebidae,Cebus,Cebus imitator,1,44,359,798,9621,2436635,8028197,FALSE,Mammalia,,Cebus imitator,8,Animalia,,VULNERABLE,,
5219955,"Chironectes minimus (Zimmermann, 1780)",Chironectes minimus,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Didelphimorphia,Didelphidae,Chironectes,Chironectes minimus,1,44,359,783,5455,2439977,5219955,FALSE,Mammalia,,Chironectes minimus,9,Animalia,,LEAST_CONCERN,PELIGRO DE EXTINCIÓN,
5219520,"Choloepus hoffmanni Peters, 1858",Choloepus hoffmanni,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Pilosa,Megalonychidae,Choloepus,Choloepus hoffmanni,1,44,359,1494,6160,2436362,5219520,FALSE,Mammalia,,Choloepus hoffmanni,10,Animalia,,LEAST_CONCERN,POBLACIÓN REDUCIDA O AMENAZADA,
