usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index,verbatim_kingdom,category_cites,category_iucn,category_sinac,category_minae
7326165,Abeliophyllum distichum Nakai,Abeliophyllum distichum,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Lamiales,Oleaceae,Abeliophyllum,Abeliophyllum distichum,6,7707728,220,408,6652,7326164,7326165,FALSE,Magnoliopsida,NA,Abeliophyllum distichum,1,Plantae,NA,EN,NA,NA
2685507,Abies guatemalensis Rehd.,Abies guatemalensis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies guatemalensis,6,7707728,194,640,3925,2684876,2685507,FALSE,Pinopsida,NA,Abies guatemalensis,2,Plantae,I,EN,NA,NA
3956362,Acanthocereus chiapensis Bravo,Acanthocereus chiapensis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Cactaceae,Acanthocereus,Acanthocereus chiapensis,6,7707728,220,422,2519,3084454,3956362,FALSE,Magnoliopsida,NA,Acanthocereus chiapensis,3,Plantae,II,VU,POBLACION REDUCIDA,NA
10748819,Acanthocereus hirschtianus (K.Schum.) Lodé,Acanthocereus hirschtianus,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Cactaceae,Acanthocereus,Acanthocereus hirschtianus,6,7707728,220,422,2519,3084454,10748819,FALSE,Magnoliopsida,NA,Acanthocereus hirschtianus,4,Plantae,II,LC,POBLACION REDUCIDA,NA
3084455,Acanthocereus tetragonus (L.) Hummelinck,Acanthocereus tetragonus,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Cactaceae,Acanthocereus,Acanthocereus tetragonus,6,7707728,220,422,2519,3084454,3084455,FALSE,Magnoliopsida,NA,Acanthocereus tetragonus,5,Plantae,II,LC,POBLACION REDUCIDA,NA
3789565,Acanthosyris annonagustata C.Ulloa & P.M.Jørg.,Acanthosyris annonagustata,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Santalales,Cervantesiaceae,Acanthosyris,Acanthosyris annonagustata,6,7707728,220,934,4934723,7265275,3789565,FALSE,Magnoliopsida,NA,Acanthosyris annonagustata,6,Plantae,NA,NT,NA,NA
5951591,Acianthera aberrans (Luer) Pupulin & Bogarín,Acianthera aberrans,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera aberrans,6,7707728,196,1169,7689,7848554,5951591,FALSE,Liliopsida,NA,Acianthera aberrans,7,Plantae,NA,NE,POBLACION REDUCIDA,NA
11000841,Acianthera beyrodtiana (Kraenzl.) Karremans,Acianthera beyrodtiana,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera beyrodtiana,6,7707728,196,1169,7689,7848554,11000841,FALSE,Liliopsida,NA,Acianthera beyrodtiana,8,Plantae,NA,NE,POBLACION REDUCIDA,NA
3657263,"Acianthera breedlovei Soto Arenas, Solano & Salazar",Acianthera breedlovei,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera breedlovei,6,7707728,196,1169,7689,7848554,3657263,FALSE,Liliopsida,NA,Acianthera breedlovei,9,Plantae,NA,NE,POBLACION REDUCIDA,NA
10725924,Acianthera brunnescens (Schltr.) Karremans,Acianthera brunnescens,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera brunnescens,6,7707728,196,1169,7689,7848554,10725924,FALSE,Liliopsida,NA,Acianthera brunnescens,10,Plantae,NA,NE,POBLACION REDUCIDA,NA
2839913,Acianthera butcheri (L.O.Williams) Pridgeon & M.W.Chase,Acianthera butcheri,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera butcheri,6,7707728,196,1169,7689,7848554,2839913,FALSE,Liliopsida,NA,Acianthera butcheri,11,Plantae,NA,NE,POBLACION REDUCIDA,NA
2840049,"Acianthera cabiriae Pupulin, G.A.Rojas & J.D.Zuñiga",Acianthera cabiriae,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera cabiriae,6,7707728,196,1169,7689,7848554,2840049,FALSE,Liliopsida,NA,Acianthera cabiriae,12,Plantae,NA,NE,POBLACION REDUCIDA,NA
10937918,Acianthera cachensis (Ames) Karremans,Acianthera cachensis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera cachensis,6,7707728,196,1169,7689,7848554,10937918,FALSE,Liliopsida,NA,Acianthera cachensis,13,Plantae,NA,NE,POBLACION REDUCIDA,NA
2839569,Acianthera capillaris (Lindl.) Pridgeon & M.W.Chase,Acianthera capillaris,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera capillaris,6,7707728,196,1169,7689,7848554,2839569,FALSE,Liliopsida,NA,Acianthera capillaris,14,Plantae,NA,NE,POBLACION REDUCIDA,NA
5951596,Acianthera ciliata (Knowles & Westc.) F.Barros & L.R.S.Guim.,Acianthera ciliata,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera ciliata,6,7707728,196,1169,7689,7848554,5951596,FALSE,Liliopsida,NA,Acianthera ciliata,15,Plantae,NA,NE,POBLACION REDUCIDA,NA
2839802,Acianthera circumplexa (Lindl.) Pridgeon & M.W.Chase,Acianthera circumplexa,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera circumplexa,6,7707728,196,1169,7689,7848554,2839802,FALSE,Liliopsida,NA,Acianthera circumplexa,16,Plantae,NA,NE,POBLACION REDUCIDA,NA
2839516,Acianthera cogniauxiana (Schltr.) Pridgeon & M.W.Chase,Acianthera cogniauxiana,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera cogniauxiana,6,7707728,196,1169,7689,7848554,2839516,FALSE,Liliopsida,NA,Acianthera cogniauxiana,17,Plantae,NA,NE,POBLACION REDUCIDA,NA
10782561,Acianthera costaricensis (Schltr.) Pupulin & Karremans,Acianthera costaricensis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera costaricensis,6,7707728,196,1169,7689,7848554,10782561,FALSE,Liliopsida,NA,Acianthera costaricensis,18,Plantae,NA,NE,POBLACION REDUCIDA,NA
2839750,Acianthera crassilabia (Ames & C.Schweinf.) Luer,Acianthera crassilabia,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera crassilabia,6,7707728,196,1169,7689,7848554,2839750,FALSE,Liliopsida,NA,Acianthera crassilabia,19,Plantae,NA,NE,POBLACION REDUCIDA,NA
2839889,Acianthera decipiens (Ames & C.Schweinf.) Pridgeon & M.W.Chase,Acianthera decipiens,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera decipiens,6,7707728,196,1169,7689,7848554,2839889,FALSE,Liliopsida,NA,Acianthera decipiens,20,Plantae,NA,NE,POBLACION REDUCIDA,NA
2839538,Acianthera ellipsophylla (L.O.Williams) Pridgeon & M.W.Chase,Acianthera ellipsophylla,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera ellipsophylla,6,7707728,196,1169,7689,7848554,2839538,FALSE,Liliopsida,NA,Acianthera ellipsophylla,21,Plantae,NA,NE,POBLACION REDUCIDA,NA
9530827,Acianthera erinacea (Rchb.f.) A.Doucette,Acianthera erinacea,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera erinacea,6,7707728,196,1169,7689,7848554,9530827,FALSE,Liliopsida,NA,Acianthera erinacea,22,Plantae,NA,NE,POBLACION REDUCIDA,NA
2840003,"Acianthera fecunda Pupulin, G.A.Rojas & J.D.Zuñiga",Acianthera fecunda,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera fecunda,6,7707728,196,1169,7689,7848554,2840003,FALSE,Liliopsida,NA,Acianthera fecunda,23,Plantae,NA,NE,POBLACION REDUCIDA,NA
2839961,Acianthera geminicaulina (Ames) Pridgeon & M.W.Chase,Acianthera geminicaulina,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asparagales,Orchidaceae,Acianthera,Acianthera geminicaulina,6,7707728,196,1169,7689,7848554,2839961,FALSE,Liliopsida,NA,Acianthera geminicaulina,24,Plantae,NA,NE,POBLACION REDUCIDA,NA
